<<<<<<< HEAD
1	4746.28
2	3499.25
3	3511.52
4	3524.32
5	3553.36
6	3551.28
7	3574.89
8	3572.19
9	3597.07
10	3610.69
11	3618.86
12	3658.63
13	3636.03
14	3655.27
15	3652.97
16	3667.82
=======
2	1371.08
3	961.75
4	783.58
5	663.71
6	599.96
7	534.99
8	495.87
9	463.00
10	442.31
11	421.85
12	407.57
13	390.51
14	383.94
15	373.44
16	370.52
>>>>>>> 1e6878a5ae41bf37df4861be411593b50f05c240
